year,date,state,state_key,region_group,population_000,population_people,population_million,population_share_percent,rank_by_population,population_change_from_previous_year_000,population_change_from_previous_year_percent,population_change_2022_to_2025_000,population_change_2022_to_2025_percent,source_name,source_url,catalogue_url,source_unit,data_status,notes
2023,2023-01-01,W.P. Putrajaya,w.p. putrajaya,Federal Territory,118.8,118800,0.1188,0.36,15,1.8,1.54,3.8,3.25,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2024,2024-01-01,Johor,johor,Peninsular Malaysia,4184.4,4184400,4.1844,12.29,2,77.2,1.88,177.6,4.41,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2024,2024-01-01,Kedah,kedah,Peninsular Malaysia,2217.1,2217100,2.2171,6.51,6,27.8,1.27,64.9,3.0,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2024,2024-01-01,Kelantan,kelantan,Peninsular Malaysia,1887.9,1887900,1.8879,5.54,8,28.1,1.51,77.1,4.21,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2024,2024-01-01,Melaka,melaka,Peninsular Malaysia,1046.7,1046700,1.0467,3.07,13,18.4,1.79,43.9,4.35,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2024,2024-01-01,Negeri Sembilan,negeri sembilan,Peninsular Malaysia,1239.5,1239500,1.2395,3.64,11,14.6,1.19,36.7,3.04,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2024,2024-01-01,Pahang,pahang,Peninsular Malaysia,1667.7,1667700,1.6677,4.9,10,24.5,1.49,63.9,3.96,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2024,2024-01-01,Perak,perak,Peninsular Malaysia,2569.4,2569400,2.5694,7.55,4,28.2,1.11,60.5,2.41,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2024,2024-01-01,Perlis,perlis,Peninsular Malaysia,296.8,296800,0.2968,0.87,14,3.7,1.26,8.0,2.76,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2024,2024-01-01,Pulau Pinang,pulau pinang,Peninsular Malaysia,1800.5,1800500,1.8005,5.29,9,27.9,1.57,62.4,3.58,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2024,2024-01-01,Sabah,sabah,East Malaysia,3742.0,3742000,3.742,10.99,3,145.3,4.04,344.7,10.09,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2024,2024-01-01,Sarawak,sarawak,East Malaysia,2517.5,2517500,2.5175,7.39,5,15.2,0.61,56.3,2.28,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2024,2024-01-01,Selangor,selangor,Peninsular Malaysia,7362.7,7362700,7.3627,21.62,1,153.0,2.12,356.5,5.06,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2024,2024-01-01,Terengganu,terengganu,Peninsular Malaysia,1231.5,1231500,1.2315,3.62,12,21.5,1.78,60.3,5.08,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2024,2024-01-01,W.P. Kuala Lumpur,w.p. kuala lumpur,Federal Territory,2067.5,2067500,2.0675,6.07,7,61.8,3.08,112.9,5.76,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2024,2024-01-01,W.P. Labuan,w.p. labuan,Federal Territory,100.8,100800,0.1008,0.3,16,1.8,1.82,4.0,4.13,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2024,2024-01-01,W.P. Putrajaya,w.p. putrajaya,Federal Territory,120.3,120300,0.1203,0.35,15,1.5,1.26,3.8,3.25,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2025,2025-01-01,Johor,johor,Peninsular Malaysia,4205.9,4205900,4.2059,12.29,2,21.5,0.51,177.6,4.41,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2025,2025-01-01,Kedah,kedah,Peninsular Malaysia,2228.0,2228000,2.228,6.51,6,10.9,0.49,64.9,3.0,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2025,2025-01-01,Kelantan,kelantan,Peninsular Malaysia,1907.7,1907700,1.9077,5.57,8,19.8,1.05,77.1,4.21,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2025,2025-01-01,Melaka,melaka,Peninsular Malaysia,1052.5,1052500,1.0525,3.07,13,5.8,0.55,43.9,4.35,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2025,2025-01-01,Negeri Sembilan,negeri sembilan,Peninsular Malaysia,1244.6,1244600,1.2446,3.64,12,5.1,0.41,36.7,3.04,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2025,2025-01-01,Pahang,pahang,Peninsular Malaysia,1678.2,1678200,1.6782,4.9,10,10.5,0.63,63.9,3.96,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2025,2025-01-01,Perak,perak,Peninsular Malaysia,2574.9,2574900,2.5749,7.52,4,5.5,0.21,60.5,2.41,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2025,2025-01-01,Perlis,perlis,Peninsular Malaysia,297.8,297800,0.2978,0.87,14,1.0,0.34,8.0,2.76,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2025,2025-01-01,Pulau Pinang,pulau pinang,Peninsular Malaysia,1803.3,1803300,1.8033,5.27,9,2.8,0.16,62.4,3.58,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2025,2025-01-01,Sabah,sabah,East Malaysia,3759.6,3759600,3.7596,10.98,3,17.6,0.47,344.7,10.09,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2025,2025-01-01,Sarawak,sarawak,East Malaysia,2529.8,2529800,2.5298,7.39,5,12.3,0.49,56.3,2.28,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2025,2025-01-01,Selangor,selangor,Peninsular Malaysia,7406.8,7406800,7.4068,21.64,1,44.1,0.6,356.5,5.06,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2025,2025-01-01,Terengganu,terengganu,Peninsular Malaysia,1246.9,1246900,1.2469,3.64,11,15.4,1.25,60.3,5.08,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2025,2025-01-01,W.P. Kuala Lumpur,w.p. kuala lumpur,Federal Territory,2074.1,2074100,2.0741,6.06,7,6.6,0.32,112.9,5.76,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2025,2025-01-01,W.P. Labuan,w.p. labuan,Federal Territory,100.9,100900,0.1009,0.29,16,0.1,0.1,4.0,4.13,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2025,2025-01-01,W.P. Putrajaya,w.p. putrajaya,Federal Territory,120.8,120800,0.1208,0.35,15,0.5,0.42,3.8,3.25,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
